,Standard Industrial Classification (Revised 2007)     Section           Division -,Standard Industrial Classification (Revised 2007)     Section           Division -,Country and Region -,Country and Region -,STANDARD ERROR Total turnover,STANDARD ERROR Approximate gross value added at basic prices (aGVA),"STANDARD ERROR Total purchases of goods, materials and services",STANDARD ERROR Total employment costs,COEFFICIENT OF VARIATION Total turnover,COEFFICIENT OF VARIATION Approximate gross value added at basic prices (aGVA),"COEFFICIENT OF VARIATION Total purchases of goods, materials and services",COEFFICIENT OF VARIATION Total employment costs
3340,26,optical products ,Scotland,2015.0,70.9,24.9,58.4,20.7,0.04,0.04,0.06,0.05
3341,26,optical products ,Scotland,2016.0,55.3,39.3,30.9,10.5,0.03,0.05,0.03,0.02
3342,26,optical products ,Scotland,2017.0,39.1,31.6,26.8,9.1,0.02,0.04,0.03,0.02
3343,26,optical products ,Scotland,2018.0,45.9,38.9,31.3,12.4,0.02,0.05,0.03,0.02
3344,26,optical products ,Scotland,2019.0,161.2,74.5,93.9,15.3,0.07,0.08,0.07,0.03
3345,26,optical products ,Northern Ireland,2012.0,82.2,59,43.9,21.3,0.13,0.18,0.15,0.17
3346,26,optical products ,Northern Ireland,2013.0,8.8,3.2,6.5,1.3,0.01,0.01,0.02,0.01
3347,26,optical products ,Northern Ireland,2014.0,6.4,3.1,4.3,1.9,0.01,0.01,0.01,0.01
3348,26,optical products ,Northern Ireland,2015.0,10.2,5.5,6.3,1.9,0.01,0.02,0.01,0.01
3349,26,optical products ,Northern Ireland,2016.0,13.2,5.3,9.8,2.7,0.02,0.02,0.02,0.02
3350,26,optical products ,Northern Ireland,2017.0,23.2,19.6,12.8,3.2,0.03,0.06,0.03,0.02
3351,26,optical products ,Northern Ireland,2018.0,38,19.2,20.6,8.4,0.04,0.04,0.04,0.04
3352,26,optical products ,Northern Ireland,2019.0,21.9,13.3,10.5,3.8,0.02,0.03,0.02,0.02
3353,26,optical products ,United Kingdom,2012.0,428.1,224.6,310.5,68,0.02,0.03,0.03,0.02
3354,26,optical products ,United Kingdom,2013.0,495.4,312.7,356.7,76.2,0.03,0.04,0.03,0.02
3355,26,optical products ,United Kingdom,2014.0,557.8,226.6,436.7,90.2,0.03,0.03,0.04,0.02
3356,26,optical products ,United Kingdom,2015.0,436.2,243.7,355.5,92.8,0.02,0.03,0.03,0.02
3357,26,optical products ,United Kingdom,2016.0,316,176.5,224.8,56.2,0.02,0.02,0.02,0.01
3358,26,optical products ,United Kingdom,2017.0,212.1,124.4,143.8,233.6,0.01,0.01,0.01,0.05
3359,26,optical products ,United Kingdom,2018.0,561.1,206.8,406.7,76.1,0.03,0.02,0.03,0.02
3360,26,optical products ,United Kingdom,2019.0,681.4,243,572.1,75.7,0.03,0.03,0.04,0.02
3361,27,Manufacture of electrical equipment ,North East,2012.0,61.9,22.5,29.5,14,0.08,0.1,0.06,0.11
3362,27,Manufacture of electrical equipment ,North East,2013.0,48.5,38.8,20.8,15,0.07,0.14,0.05,0.09
3363,27,Manufacture of electrical equipment ,North East,2014.0,51.4,30.3,31.9,9.2,0.06,0.1,0.05,0.05
3364,27,Manufacture of electrical equipment ,North East,2015.0,13.6,9,13.3,5.4,0.02,0.04,0.02,0.04
3365,27,Manufacture of electrical equipment ,North East,2016.0,86.6,18.8,70.1,4,0.09,0.09,0.1,0.03
3366,27,Manufacture of electrical equipment ,North East,2017.0,40,19.6,29,8,0.05,0.07,0.05,0.05
3367,27,Manufacture of electrical equipment ,North East,2018.0,59.1,12.9,50.4,10.1,0.06,0.05,0.07,0.06
3368,27,Manufacture of electrical equipment ,North East,2019.0,45.5,17.6,33.2,7.8,0.05,0.06,0.05,0.05
3369,27,Manufacture of electrical equipment ,North West,2012.0,163.6,14.9,156.1,11,0.15,0.04,0.22,0.05
3370,27,Manufacture of electrical equipment ,North West,2013.0,173,20.9,174.5,8.9,0.16,0.06,0.23,0.04
3371,27,Manufacture of electrical equipment ,North West,2014.0,67.8,32.3,36.5,6.7,0.06,0.09,0.05,0.03
3372,27,Manufacture of electrical equipment ,North West,2015.0,121.7,40.3,87,9.1,0.11,0.1,0.12,0.03
3373,27,Manufacture of electrical equipment ,North West,2016.0,25,11.1,19.2,6.7,0.02,0.02,0.03,0.02
3374,27,Manufacture of electrical equipment ,North West,2017.0,53.9,36.1,49.9,9.5,0.05,0.09,0.06,0.04
3375,27,Manufacture of electrical equipment ,North West,2018.0,56.8,22.8,36.1,9.8,0.05,0.06,0.05,0.04
3376,27,Manufacture of electrical equipment ,North West,2019.0,65.1,20.9,59.3,12,0.06,0.05,0.08,0.04
3377,27,Manufacture of electrical equipment ,Yorkshire and The Humber,2012.0,78.9,26.6,57.3,14.6,0.06,0.06,0.07,0.06
3378,27,Manufacture of electrical equipment ,Yorkshire and The Humber,2013.0,120.1,55.9,74.8,17.5,0.1,0.11,0.1,0.05
3379,27,Manufacture of electrical equipment ,Yorkshire and The Humber,2014.0,119.5,38.7,123.4,8.4,0.09,0.1,0.14,0.03
3380,27,Manufacture of electrical equipment ,Yorkshire and The Humber,2015.0,79.8,22.5,77.2,12.8,0.07,0.06,0.1,0.06
3381,27,Manufacture of electrical equipment ,Yorkshire and The Humber,2016.0,51.2,22.7,59.6,9.6,0.05,0.06,0.08,0.03
3382,27,Manufacture of electrical equipment ,Yorkshire and The Humber,2017.0,86.9,51.2,48.1,7.2,0.07,0.1,0.06,0.03
3383,27,Manufacture of electrical equipment ,Yorkshire and The Humber,2018.0,39.3,20.9,30.6,13.1,0.03,0.04,0.04,0.05
3384,27,Manufacture of electrical equipment ,Yorkshire and The Humber,2019.0,59.5,35.2,44.8,12.3,0.05,0.08,0.06,0.05
3385,27,Manufacture of electrical equipment ,East Midlands,2012.0,81.1,40.9,75.4,11.9,0.07,0.1,0.11,0.06
3386,27,Manufacture of electrical equipment ,East Midlands,2013.0,97.8,29.9,76.5,17.9,0.1,0.1,0.12,0.08
3387,27,Manufacture of electrical equipment ,East Midlands,2014.0,70.3,19.9,62.3,11.7,0.08,0.06,0.11,0.05
3388,27,Manufacture of electrical equipment ,East Midlands,2015.0,320.1,25.8,318.3,16.4,0.32,0.1,0.42,0.09
3389,27,Manufacture of electrical equipment ,East Midlands,2016.0,141.1,48.2,109.9,11.2,0.14,0.14,0.17,0.06
3390,27,Manufacture of electrical equipment ,East Midlands,2017.0,84.9,78.3,46.1,6.1,0.09,0.2,0.08,0.03
3391,27,Manufacture of electrical equipment ,East Midlands,2018.0,41.4,24.4,38.4,7.6,0.05,0.09,0.06,0.04
3392,27,Manufacture of electrical equipment ,East Midlands,2019.0,53.6,48.3,42.3,39.1,0.07,0.16,0.09,0.17
3393,27,Manufacture of electrical equipment ,West Midlands,2012.0,54.5,54.2,32.4,18.7,0.05,0.1,0.05,0.07
3394,27,Manufacture of electrical equipment ,West Midlands,2013.0,62.3,19.8,46.5,12.1,0.05,0.05,0.05,0.04
3395,27,Manufacture of electrical equipment ,West Midlands,2014.0,85,41.3,64.6,16.3,0.06,0.08,0.08,0.05
3396,27,Manufacture of electrical equipment ,West Midlands,2015.0,74.5,38.5,57.4,21.2,0.06,0.07,0.07,0.07
3397,27,Manufacture of electrical equipment ,West Midlands,2016.0,72.1,25.7,57.8,28,0.05,0.05,0.06,0.08
3398,27,Manufacture of electrical equipment ,West Midlands,2017.0,37.9,27.2,29.1,5.9,0.03,0.05,0.04,0.02
3399,27,Manufacture of electrical equipment ,West Midlands,2018.0,61.5,34.2,48.5,10.2,0.04,0.07,0.05,0.03
3400,27,Manufacture of electrical equipment ,West Midlands,2019.0,221.6,72.6,158.4,18.4,0.14,0.14,0.14,0.06
3401,27,Manufacture of electrical equipment ,East of England,2012.0,194.2,74.2,132.4,48.2,0.12,0.14,0.12,0.14
3402,27,Manufacture of electrical equipment ,East of England,2013.0,139.5,80.4,64,39.5,0.15,0.18,0.13,0.15
3403,27,Manufacture of electrical equipment ,East of England,2014.0,81.9,60.4,32.8,28.8,0.11,0.18,0.08,0.15
3404,27,Manufacture of electrical equipment ,East of England,2015.0,101.1,42.3,73.1,27.1,0.13,0.16,0.14,0.13
3405,27,Manufacture of electrical equipment ,East of England,2016.0,69.2,57.4,37.8,17,0.06,0.12,0.06,0.06
3406,27,Manufacture of electrical equipment ,East of England,2017.0,59.6,31.9,36.7,18.9,0.06,0.07,0.06,0.07
3407,27,Manufacture of electrical equipment ,East of England,2018.0,67.4,35.2,40.9,14,0.07,0.09,0.08,0.06
3408,27,Manufacture of electrical equipment ,East of England,2019.0,68.7,33.7,48.2,14.6,0.08,0.1,0.1,0.07
3409,27,Manufacture of electrical equipment ,London,2012.0,82.9,29.6,57.7,12.3,0.19,0.17,0.21,0.15
3410,27,Manufacture of electrical equipment ,London,2013.0,73.1,22.5,62.5,4.8,0.15,0.12,0.21,0.05
3411,27,Manufacture of electrical equipment ,London,2014.0,138.3,62.8,87.7,35.6,0.27,0.31,0.28,0.28
3412,27,Manufacture of electrical equipment ,London,2015.0,182,97.4,90,50.4,0.33,0.41,0.29,0.34
3413,27,Manufacture of electrical equipment ,London,2016.0,60.8,26,40.4,14.2,0.16,0.17,0.18,0.16
3414,27,Manufacture of electrical equipment ,London,2017.0,262.5,117.8,148.3,20.7,0.41,0.46,0.38,0.2
3415,27,Manufacture of electrical equipment ,London,2018.0,71,60.7,22,16.6,0.24,0.41,0.14,0.21
3416,27,Manufacture of electrical equipment ,London,2019.0,46.6,25.1,24.8,12,0.18,0.21,0.17,0.19
3417,27,Manufacture of electrical equipment ,South East,2012.0,136.4,66.2,83.6,39.6,0.07,0.1,0.07,0.12
3418,27,Manufacture of electrical equipment ,South East,2013.0,274.6,103.6,177.2,93.5,0.12,0.15,0.11,0.2
3419,27,Manufacture of electrical equipment ,South East,2014.0,249.7,100.8,156.3,80.7,0.11,0.14,0.11,0.18
3420,27,Manufacture of electrical equipment ,South East,2015.0,273.5,108.6,185.9,89.1,0.13,0.17,0.13,0.19
3421,27,Manufacture of electrical equipment ,South East,2016.0,94.9,50.8,49,19.6,0.04,0.08,0.03,0.05
3422,27,Manufacture of electrical equipment ,South East,2017.0,165,57.8,105.2,30.6,0.07,0.08,0.06,0.07
3423,27,Manufacture of electrical equipment ,South East,2018.0,131.1,64.9,87.8,22,0.06,0.08,0.06,0.05
3424,27,Manufacture of electrical equipment ,South East,2019.0,133.5,80.9,98.1,55.4,0.06,0.1,0.08,0.12
3425,27,Manufacture of electrical equipment ,South West,2012.0,35.8,47.2,46.6,15.6,0.03,0.11,0.06,0.06
3426,27,Manufacture of electrical equipment ,South West,2013.0,170.7,110.6,186.7,20.2,0.12,0.21,0.2,0.06
3427,27,Manufacture of electrical equipment ,South West,2014.0,221,58.7,178.6,15.6,0.14,0.1,0.18,0.04
3428,27,Manufacture of electrical equipment ,South West,2015.0,41.4,28.2,33,17.2,0.04,0.06,0.05,0.05
3429,27,Manufacture of electrical equipment ,South West,2016.0,58.8,25.7,40,8.8,0.04,0.05,0.05,0.03
3430,27,Manufacture of electrical equipment ,South West,2017.0,247.7,66.5,184.4,36.5,0.15,0.1,0.18,0.1
3431,27,Manufacture of electrical equipment ,South West,2018.0,69,20.2,65.5,5.8,0.05,0.03,0.07,0.02
3432,27,Manufacture of electrical equipment ,South West,2019.0,117.2,25.1,96.2,10,0.07,0.04,0.1,0.03
3433,27,Manufacture of electrical equipment ,England,2012.0,283.2,106.8,243.5,45.8,0.03,0.03,0.04,0.02
3434,27,Manufacture of electrical equipment ,England,2013.0,394.8,168.9,334.3,91.3,0.04,0.05,0.05,0.04
3435,27,Manufacture of electrical equipment ,England,2014.0,368.5,134.8,281.6,72.6,0.04,0.04,0.04,0.03
3436,27,Manufacture of electrical equipment ,England,2015.0,421.6,129.6,380.6,85,0.04,0.04,0.06,0.04
3437,27,Manufacture of electrical equipment ,England,2016.0,207.7,91,159.4,38.4,0.02,0.02,0.02,0.02
3438,27,Manufacture of electrical equipment ,England,2017.0,389,172.1,254.8,51.5,0.03,0.04,0.04,0.02
3439,27,Manufacture of electrical equipment ,England,2018.0,186.1,103.6,139.8,28.5,0.02,0.03,0.02,0.01
3440,27,Manufacture of electrical equipment ,England,2019.0,304.7,136.9,228.7,70.1,0.03,0.04,0.03,0.03
3441,27,Manufacture of electrical equipment ,Wales,2012.0,*,14.1,*,9.1,*,0.05,*,0.06
3442,27,Manufacture of electrical equipment ,Wales,2013.0,*,*,*,8.4,*,*,*,0.05
3443,27,Manufacture of electrical equipment ,Wales,2014.0,12.9,*,*,7.4,0.01,*,*,0.05
3444,27,Manufacture of electrical equipment ,Wales,2015.0,27.1,11.4,18.8,4.3,0.03,0.04,0.02,0.03
3445,27,Manufacture of electrical equipment ,Wales,2016.0,17.5,9,17.1,3.5,0.02,0.03,0.02,0.02
3446,27,Manufacture of electrical equipment ,Wales,2017.0,20.5,6.2,17.2,2.9,0.02,0.02,0.02,0.02
3447,27,Manufacture of electrical equipment ,Wales,2018.0,20.4,6.7,14.7,2.7,0.02,0.02,0.02,0.02
3448,27,Manufacture of electrical equipment ,Wales,2019.0,28,13.3,26.2,5.1,0.02,0.04,0.03,0.03
3449,27,Manufacture of electrical equipment ,Scotland,2012.0,59.8,21.1,47.5,11.4,0.07,0.08,0.08,0.06
3450,27,Manufacture of electrical equipment ,Scotland,2013.0,58.8,26.9,38.3,14.6,0.06,0.08,0.06,0.07
3451,27,Manufacture of electrical equipment ,Scotland,2014.0,84.8,24.7,73.1,13.2,0.07,0.06,0.09,0.06
3452,27,Manufacture of electrical equipment ,Scotland,2015.0,49.3,13,37.9,6.6,0.06,0.06,0.08,0.04
3453,27,Manufacture of electrical equipment ,Scotland,2016.0,17.3,10.2,9.8,3.1,0.03,0.06,0.03,0.02
3454,27,Manufacture of electrical equipment ,Scotland,2017.0,59.6,51.3,19.1,9.5,0.1,0.45,0.04,0.06
3455,27,Manufacture of electrical equipment ,Scotland,2018.0,22,17.9,14.1,4.3,0.05,0.1,0.05,0.04
3456,27,Manufacture of electrical equipment ,Scotland,2019.0,83.3,33.4,59.7,19.5,0.12,0.09,0.19,0.12
3457,27,Manufacture of electrical equipment ,Northern Ireland,2012.0,*,3.2,*,1.7,*,0.02,*,0.01
3458,27,Manufacture of electrical equipment ,Northern Ireland,2013.0,*,*,*,0.8,*,*,*,0.01
3459,27,Manufacture of electrical equipment ,Northern Ireland,2014.0,7.7,*,*,2,0.01,*,*,0.02
3460,27,Manufacture of electrical equipment ,Northern Ireland,2015.0,23.4,4.3,24.4,1.6,0.03,0.03,0.04,0.02
3461,27,Manufacture of electrical equipment ,Northern Ireland,2016.0,26.9,4,25.8,2.7,0.04,0.02,0.05,0.03
3462,27,Manufacture of electrical equipment ,Northern Ireland,2017.0,22.9,9.9,19.4,1.4,0.04,0.08,0.04,0.01
3463,27,Manufacture of electrical equipment ,Northern Ireland,2018.0,21,6.8,16,1.5,0.03,0.04,0.03,0.01
3464,27,Manufacture of electrical equipment ,Northern Ireland,2019.0,20,5.4,16.4,0.9,0.02,0.03,0.03,0.01
3465,27,Manufacture of electrical equipment ,United Kingdom,2012.0,299.8,110.3,258.1,49.2,0.02,0.02,0.03,0.02
3466,27,Manufacture of electrical equipment ,United Kingdom,2013.0,402.4,173.1,338.9,92.1,0.03,0.04,0.04,0.03
3467,27,Manufacture of electrical equipment ,United Kingdom,2014.0,391.4,141.3,299,75.2,0.03,0.03,0.03,0.03
3468,27,Manufacture of electrical equipment ,United Kingdom,2015.0,422,131,379.2,86,0.03,0.03,0.04,0.03
3469,27,Manufacture of electrical equipment ,United Kingdom,2016.0,214.3,92.9,165.6,38.5,0.02,0.02,0.02,0.01
3470,27,Manufacture of electrical equipment ,United Kingdom,2017.0,394.6,181.2,257,52.7,0.03,0.04,0.03,0.02
3471,27,Manufacture of electrical equipment ,United Kingdom,2018.0,189.6,105.9,142.1,29.3,0.01,0.02,0.02,0.01
3472,27,Manufacture of electrical equipment ,United Kingdom,2019.0,317.2,143.9,238.1,73.5,0.02,0.03,0.03,0.03
3473,28,Manufacture of machinery and equipment ,North East,2012.0,157.6,53,123.4,28.7,0.05,0.05,0.06,0.06
3474,28,n.e.c,North East,2013.0,98.4,59.3,114.5,24.7,0.04,0.06,0.07,0.04
3475,28,n.e.c,North East,2014.0,113.2,42,78.7,23.4,0.04,0.05,0.04,0.05
3476,28,n.e.c,North East,2015.0,83.5,45.4,68.1,11.5,0.03,0.06,0.03,0.02
3477,28,n.e.c,North East,2016.0,33.4,12.9,24.6,7.4,0.01,0.02,0.01,0.02
3478,28,n.e.c,North East,2017.0,96.8,21.5,84.6,7.1,0.04,0.04,0.05,0.02
3479,28,n.e.c,North East,2018.0,46.2,37.1,27.9,10.7,0.02,0.05,0.02,0.02
3480,28,n.e.c,North East,2019.0,59,31.2,51.6,12,0.02,0.04,0.03,0.03
3481,28,n.e.c,North West,2012.0,325,116.6,233.9,41.2,0.12,0.12,0.14,0.07
3482,28,n.e.c,North West,2013.0,143.7,64.2,131.1,25.5,0.07,0.07,0.11,0.05
3483,28,n.e.c,North West,2014.0,151.5,82.2,117.9,33.3,0.07,0.08,0.1,0.06
3484,28,n.e.c,North West,2015.0,139,60.4,104.7,111.3,0.07,0.08,0.09,0.19
3485,28,n.e.c,North West,2016.0,113.1,36.7,100.4,15.3,0.05,0.04,0.07,0.03
3486,28,n.e.c,North West,2017.0,133.9,122.7,56,16.6,0.06,0.11,0.05,0.03
3487,28,n.e.c,North West,2018.0,146.3,75.2,91.8,36.2,0.06,0.07,0.07,0.06
3488,28,n.e.c,North West,2019.0,132.4,95,118.9,16.6,0.05,0.09,0.09,0.03
3489,28,n.e.c,Yorkshire and The Humber,2012.0,184.7,49.9,153.7,28.1,0.06,0.05,0.08,0.04
3490,28,n.e.c,Yorkshire and The Humber,2013.0,145.1,102.5,115.1,29.9,0.05,0.09,0.06,0.04
3491,28,n.e.c,Yorkshire and The Humber,2014.0,123.2,66,104.3,24,0.04,0.05,0.06,0.04
3492,28,n.e.c,Yorkshire and The Humber,2015.0,94.8,78.4,68.6,17.3,0.03,0.07,0.04,0.03
3493,28,n.e.c,Yorkshire and The Humber,2016.0,60.2,28.4,54.9,25.3,0.02,0.02,0.03,0.04
3494,28,n.e.c,Yorkshire and The Humber,2017.0,94.1,33.7,71,14.6,0.03,0.03,0.04,0.02
3495,28,n.e.c,Yorkshire and The Humber,2018.0,254.8,96,170.4,39.6,0.06,0.06,0.07,0.05
3496,28,n.e.c,Yorkshire and The Humber,2019.0,131.4,65,93.2,19.3,0.04,0.05,0.04,0.02
3497,28,n.e.c,East Midlands,2012.0,139.6,71.4,104,25.2,0.03,0.05,0.04,0.04
3498,28,n.e.c,East Midlands,2013.0,129.1,62.2,97.1,29.6,0.03,0.05,0.03,0.04
3499,28,n.e.c,East Midlands,2014.0,148.7,99.9,112.8,26.4,0.04,0.07,0.05,0.04
3500,28,n.e.c,East Midlands,2015.0,85.8,45.2,60.4,20.1,0.03,0.04,0.03,0.03
3501,28,n.e.c,East Midlands,2016.0,60.5,30.7,44.3,13.2,0.02,0.04,0.02,0.02
3502,28,n.e.c,East Midlands,2017.0,69.3,29.7,51.9,14.4,0.02,0.03,0.02,0.02
3503,28,n.e.c,East Midlands,2018.0,92,49.7,61.2,17.2,0.02,0.03,0.02,0.02
3504,28,n.e.c,East Midlands,2019.0,106.4,67.1,112.1,26.6,0.02,0.05,0.04,0.03
3505,28,n.e.c,West Midlands,2012.0,222.7,79.7,182.3,21.1,0.04,0.04,0.04,0.02
3506,28,n.e.c,West Midlands,2013.0,193.8,87.3,147.5,24,0.03,0.05,0.04,0.03
3507,28,n.e.c,West Midlands,2014.0,142.8,76.9,97.8,22.6,0.03,0.05,0.03,0.03
3508,28,n.e.c,West Midlands,2015.0,188.5,116.7,133,20.1,0.03,0.07,0.03,0.02
3509,28,n.e.c,West Midlands,2016.0,109.7,54.5,76.1,36.5,0.02,0.03,0.02,0.04
3510,28,n.e.c,West Midlands,2017.0,136,43.9,117.3,15.4,0.02,0.02,0.03,0.02
3511,28,n.e.c,West Midlands,2018.0,126.1,58.4,100.9,16,0.02,0.03,0.02,0.02
3512,28,n.e.c,West Midlands,2019.0,136.3,83.3,130,21.6,0.02,0.04,0.03,0.02
3513,28,n.e.c,East of England,2012.0,254.4,97.2,182.7,48,0.05,0.06,0.05,0.06
3514,28,n.e.c,East of England,2013.0,250.9,158.5,166.2,43.8,0.05,0.1,0.05,0.06
3515,28,n.e.c,East of England,2014.0,268.7,117,172.4,51.3,0.04,0.07,0.04,0.06
3516,28,n.e.c,East of England,2015.0,213.8,136.9,161.3,66.4,0.04,0.09,0.04,0.07
3517,28,n.e.c,East of England,2016.0,128.1,101.8,63.6,53.8,0.02,0.06,0.02,0.06
3518,28,n.e.c,East of England,2017.0,110.6,60.9,70.6,24.1,0.02,0.05,0.02,0.03
3519,28,n.e.c,East of England,2018.0,175.1,112.3,97.8,28.7,0.03,0.07,0.02,0.03
3520,28,n.e.c,East of England,2019.0,219.9,86,160,33.7,0.03,0.06,0.03,0.04
3521,28,n.e.c,London,2012.0,49.2,21.6,34.2,17.4,0.14,0.14,0.17,0.18
3522,28,n.e.c,London,2013.0,56.5,15.5,49.9,12.2,0.15,0.11,0.21,0.13
3523,28,n.e.c,London,2014.0,*,*,*,*,*,*,*,*
3524,28,n.e.c,London,2015.0,*,*,*,*,*,*,*,*
3525,28,n.e.c,London,2016.0,*,57.7,*,*,*,0.22,*,*
3526,28,n.e.c,London,2017.0,*,36.9,*,*,*,0.17,*,*
3527,28,n.e.c,London,2018.0,*,48.3,*,*,*,0.15,*,*
3528,28,n.e.c,London,2019.0,54.4,29.3,33,23,0.12,0.17,0.11,0.19
3529,28,n.e.c,South East,2012.0,282.4,155.9,174.8,50.3,0.07,0.06,0.1,0.06
3530,28,n.e.c,South East,2013.0,240,131.2,128.4,50.8,0.07,0.08,0.08,0.06
3531,28,n.e.c,South East,2014.0,*,*,*,*,*,*,*,*
3532,28,n.e.c,South East,2015.0,*,*,*,*,*,*,*,*
3533,28,n.e.c,South East,2016.0,*,62.5,*,*,*,0.05,*,*
3534,28,n.e.c,South East,2017.0,*,82.9,*,*,*,0.06,*,*
3535,28,n.e.c,South East,2018.0,*,89.2,*,*,*,0.06,*,*
3536,28,n.e.c,South East,2019.0,224.7,162.6,118.3,37.7,0.05,0.1,0.04,0.04
3537,28,n.e.c,South East,2012.0,114.6,54.6,91.3,23.8,0.05,0.05,0.06,0.04
3538,28,n.e.c,South East,2013.0,122.5,54.5,97.3,20.7,0.05,0.06,0.07,0.03
3539,28,n.e.c,South East,2014.0,239.2,43.5,205.3,27.5,0.1,0.05,0.13,0.05
3540,28,n.e.c,South East,2015.0,*,*,*,*,*,*,*,*
3541,28,n.e.c,South East,2016.0,69.5,38.6,56.3,34.6,0.03,0.04,0.04,0.05
3542,28,n.e.c,South East,2017.0,137.1,50.8,93.5,13.3,0.05,0.04,0.05,0.02
3543,28,n.e.c,South East,2018.0,84.4,46.6,78.4,23.6,0.03,0.04,0.04,0.03
3544,28,n.e.c,South East,2019.0,122.2,52,87.2,19.1,0.04,0.04,0.05,0.03
3545,28,n.e.c,England,2012.0,642.7,222.9,510.4,78.6,0.02,0.02,0.03,0.01
3546,28,n.e.c,England,2013.0,421,235.3,336.6,78.5,0.01,0.02,0.02,0.01
3547,28,n.e.c,England,2014.0,410.8,212.1,312.6,72.6,0.01,0.02,0.02,0.01
3548,28,n.e.c,England,2015.0,421.7,249.4,288.5,145.8,0.01,0.03,0.01,0.03
3549,28,n.e.c,England,2016.0,269.1,164.2,195.9,87.5,0.01,0.02,0.01,0.01
3550,28,n.e.c,England,2017.0,315.2,172.4,231,44.7,0.01,0.02,0.01,0.01
3551,28,n.e.c,England,2018.0,404.4,202.6,281.2,67.9,0.01,0.02,0.01,0.01
3552,28,n.e.c,England,2019.0,402.1,239.4,314,57.8,0.01,0.02,0.01,0.01
3553,28,n.e.c,Wales,2012.0,64.9,47.5,44.1,12.4,0.09,0.16,0.11,0.08
3554,28,n.e.c,Wales,2013.0,36.3,23.7,25.9,8.8,0.06,0.1,0.06,0.07
3555,28,n.e.c,Wales,2014.0,40.6,50.8,71.8,15.9,0.06,0.3,0.14,0.12
3556,28,n.e.c,Wales,2015.0,36.6,13.2,27.8,17.1,0.05,0.05,0.05,0.09
3557,28,n.e.c,Wales,2016.0,23.5,10.3,18.5,6.9,0.03,0.03,0.04,0.04
3558,28,n.e.c,Wales,2017.0,50.9,16.3,43.9,8.4,0.06,0.04,0.09,0.05
3559,28,n.e.c,Wales,2018.0,33.5,30.8,20.4,6.8,0.04,0.06,0.05,0.04
3560,28,n.e.c,Wales,2019.0,38.7,19.5,27.3,4.8,0.05,0.05,0.06,0.03
3561,28,n.e.c,Scotland,2012.0,78.6,52.2,70.5,10.5,0.03,0.06,0.04,0.02
3562,28,n.e.c,Scotland,2013.0,57,38.2,60.1,13.9,0.02,0.04,0.04,0.02
3563,28,n.e.c,Scotland,2014.0,76.8,33.4,64.8,11.7,0.03,0.03,0.04,0.02
3564,28,n.e.c,Scotland,2015.0,98.2,40.7,80,18.9,0.04,0.05,0.05,0.03
3565,28,n.e.c,Scotland,2016.0,42.6,33.3,25.7,16.1,0.02,0.05,0.02,0.03
3566,28,n.e.c,Scotland,2017.0,47.6,21.6,34.1,9,0.02,0.03,0.02,0.02
3567,28,n.e.c,Scotland,2018.0,50.1,35.3,45.4,8.4,0.02,0.05,0.03,0.02
3568,28,n.e.c,Scotland,2019.0,59.7,38.4,44.5,14.8,0.03,0.05,0.03,0.03
3569,28,n.e.c,Northern Ireland,2012.0,55.9,19.6,43.1,9.7,0.05,0.06,0.06,0.07
3570,28,n.e.c,Northern Ireland,2013.0,21,5.9,21.6,2,0.02,0.02,0.03,0.01
3571,28,n.e.c,Northern Ireland,2014.0,28.8,6.7,26.8,3.1,0.03,0.02,0.04,0.02
3572,28,n.e.c,Northern Ireland,2015.0,61.1,16.7,53.6,6.7,0.05,0.04,0.07,0.04
3573,28,n.e.c,Northern Ireland,2016.0,50.1,12.1,40.1,6.5,0.05,0.03,0.05,0.03
3574,28,n.e.c,Northern Ireland,2017.0,39.3,36,26.1,5,0.04,0.11,0.03,0.02
3575,28,n.e.c,Northern Ireland,2018.0,71.6,19.9,60,7.4,0.05,0.04,0.06,0.03
3576,28,n.e.c,Northern Ireland,2019.0,41.7,14.7,33.8,3.7,0.03,0.03,0.03,0.02
3577,28,n.e.c,United Kingdom,2012.0,655.3,224.3,526.2,79.8,0.02,0.02,0.02,0.01
3578,28,n.e.c,United Kingdom,2013.0,430.6,242.7,347.9,81.4,0.01,0.02,0.02,0.01
3579,28,n.e.c,United Kingdom,2014.0,416.1,227.5,326.7,75.9,0.01,0.02,0.01,0.01
3580,28,n.e.c,United Kingdom,2015.0,443.6,253.2,312,148.2,0.01,0.02,0.01,0.02
3581,28,n.e.c,United Kingdom,2016.0,285.1,171.3,209.1,90.4,0.01,0.02,0.01,0.01
3582,28,n.e.c,United Kingdom,2017.0,321.5,178,235.5,46.1,0.01,0.02,0.01,0.01
3583,28,n.e.c,United Kingdom,2018.0,406.8,209.1,287.3,70.1,0.01,0.02,0.01,0.01
3584,28,n.e.c,United Kingdom,2019.0,412.2,250.4,320.1,59.6,0.01,0.02,0.01,0.01
3585,29,"Manufacture of motor vehicles, trailers",North East,2012.0,111.6,19.3,101.4,8,0.02,0.04,0.02,0.02
